time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,8a09f8,a3c2d5,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.8577,113.6781,2423.16,129.54,105.2,-1.63,27.349,-2049.78,50.38,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,781841,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.8333,113.6806,960.12,92.97,152.3,0.0,26.482,-3512.82,86.95,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,780667,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.8025,113.7211,1059.18,94.33,152.74,-4.23,21.939,-3413.76,85.59,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,7805b3,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.5104,113.8834,1501.14,131.69,135.63,11.38,31.555,-2971.8,48.23,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,7818f6,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.8362,113.5205,960.12,106.23,18.35,0.0,42.761,-3512.82,73.69,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,789217,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.5241,114.1517,5219.7,199.26,318.03,2.28,37.031,746.76,19.34,far,above,approaching,far_above_approaching,maintain,5
1781283492,8a09f8,780970,22.7902,113.9347,4472.94,179.92,8.38,0.0,23.0775,113.742,5402.58,205.28,0.72,0.65,37.55,929.64,25.36,far,above,approaching,far_above_approaching,maintain,5
1781283492,8a09f8,a3d91f,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.7147,113.7693,419.1,78.23,152.59,-4.23,18.925,-4053.84,101.69,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,8a09f8,781006,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.6902,113.7592,929.64,69.49,152.68,-3.25,21.156,-3543.3,110.43,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,7810aa,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.9122,113.6697,1584.96,98.18,185.41,0.0,30.354,-2887.98,81.74,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,7504aa,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.2648,114.2677,12123.42,228.21,335.92,-0.33,67.697,7650.48,48.29,far,above,approaching,far_above_approaching,maintain,5
1781283492,8a09f8,4d238c,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.179,113.7398,800.1,103.12,335.22,-2.6,70.851,-3672.84,76.8,far,below,approaching,far_below_approaching,maintain,5
1781283492,8a09f8,71bd84,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.3099,113.9406,327.66,89.15,71.15,12.03,53.41,-4145.28,90.77,far,below,approaching,far_below_approaching,maintain,5
1781283492,76cd09,899059,25.6785,122.6384,12976.86,238.9,204.96,0.0,26.1059,122.7081,9326.88,221.08,229.34,-6.18,48.033,-3649.98,17.82,far,below,approaching,far_below_approaching,maintain,5
1781283492,76cd09,7892a4,25.6785,122.6384,12976.86,238.9,204.96,0.0,25.1948,122.0727,11430.0,247.53,49.89,0.0,78.228,-1546.86,8.63,far,below,stable,far_below_stable,maintain,5
1781283492,780d13,780bff,13.792,100.7875,594.36,80.73,194.39,-3.9,13.9508,100.9193,1059.18,113.83,229.4,-6.5,22.677,464.82,33.1,far,above,approaching,far_above_approaching,maintain,5
1781283492,780d13,8832d4,13.792,100.7875,594.36,80.73,194.39,-3.9,14.1413,100.6944,1889.76,98.08,172.46,-4.55,40.119,1295.4,17.35,far,above,approaching,far_above_approaching,maintain,5
1781283492,780d13,88510d,13.792,100.7875,594.36,80.73,194.39,-3.9,13.5853,100.8402,2948.94,158.77,67.92,14.63,23.679,2354.58,78.04,far,above,approaching,far_above_approaching,maintain,5
1781283492,780d13,88044a,13.792,100.7875,594.36,80.73,194.39,-3.9,13.9772,100.6451,381.0,66.06,208.36,-3.58,25.698,-213.36,14.67,far,same,stable,far_same_stable,maintain,5
1781283492,750264,75025b,2.8313,101.6663,419.1,74.19,146.31,-3.58,2.925,101.6034,1089.66,96.31,145.89,-6.18,12.544,670.56,22.12,medium,above,approaching,medium_above_approaching,maintain,5
